ticker,sector,roe,roa,profit_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,eps_growth,asset_turnover,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,fcf_yield,market_cap,revenue,net_income,free_cash_flow,label
ALLE,Industrials,39.8147531152129,13.313873167253442,15.839563119664918,20.69614548539314,1.332378223495702,2.0408953938872147,3.325298564698148,9.5,84.05454788537814,22.039242,7.198037,3.5208745,2.319920210526316,16.607,4.159998641075675,14012023808,3772200000.0,597500000.0,582900000.0,good_quality_overvalued
LNT,Utilities,9.851513420902341,3.0377740600510696,17.33232856066315,22.255714644561667,1.4857224443175328,0.43609576427255986,-1.1422895455674198,-5.2,17.526635555164216,21.468552,2.4016743,4.1060023,,15.398,-0.32480383361921294,17549053952,3981000000.0,690000000.0,-57000000.0,bad_quality_overvalued
ALL,Financial Services,21.76569349874079,4.181262710877375,7.347870581752342,5.878296465401873,0.3770637067437739,1.5,12.235161068014348,222.2,56.904414202137666,6.9494166,2.2016766,0.84484434,0.031275502250225025,5.612,15.442377568147462,56474464256,63515000000.0,4667000000.0,8721000000.0,good_quality_undervalued
GOOGL,Communication Services,30.797578472025695,22.235794747876763,28.603671811164,32.1097772114577,0.07832129541903016,1.8369313974102914,13.866243322901553,35.3,77.73755374720159,29.581442,9.354728,9.415679,0.8380011898016998,24.534,2.0047838732165344,3629518422016,350018000000.0,100118000000.0,72764000000.0,good_quality_overvalued
GOOG,Communication Services,30.797578472025695,22.235794747876763,28.603671811164,32.1097772114577,0.07832129541903016,1.8369313974102914,13.866243322901553,35.3,77.73755374720159,29.580454,9.354415,9.384047,0.8379732011331446,24.533,2.0115417925310197,3617324793856,350018000000.0,100118000000.0,72764000000.0,good_quality_overvalued
MO,Consumer Defensive,0.0,32.020922762032015,55.096849931520254,56.88710624144003,,0.513950575105341,-0.28289922934347866,5.2,58.117519970435225,11.104962,-36.92259,4.847409,2.1355696153846155,9.515,8.80895028834999,97752850432,20444000000.0,11264000000.0,8611000000.0,bad_quality_undervalued
AMZN,Consumer Cyclical,20.71825715984194,9.481288026449286,9.287117197186653,10.75194487420038,0.45774032241144175,1.063734806137178,10.990892246666146,36.4,102.09075459197881,31.170904,6.3807206,3.4125872,0.8563435164835165,17.362,1.3935938786931685,2359223910400,637959000000.0,59248000000.0,32878000000.0,good_quality_overvalued
AMCR,Consumer Cyclical,4.357094133697135,1.3786219176603896,3.4046238923312675,8.76807248983943,1.2796725784447476,1.207098897953342,10.036656891495602,-14.399999999999999,40.49263475961798,28.333332,1.6719118,1.1275822,,13.981,4.128217636796045,19621058560,15009000000.0,511000000.0,810000000.0,bad_quality_undervalued
AEE,Utilities,9.757305596830115,2.6503430647114223,15.505706414797324,19.88718352354716,1.5454845633151726,0.663346029885731,1.6400000000000001,38.2,17.092694739674425,20.101923,2.2124624,3.274445,0.5262283507853402,13.681,-5.8249680068283,28274833408,7623000000.0,1182000000.0,-1647000000.0,bad_quality_undervalued
AEP,Utilities,11.012180909893928,2.878499776868003,15.045154224113015,22.54465983479791,1.6984538186892717,0.44497398015266004,3.8931004145967565,0.6,19.13240458681775,17.692533,2.1278768,3.0428324,29.487555000000004,12.831,-1.4939358430833782,64681492480,19721300000.0,2967100000.0,-966300000.0,bad_quality_overvalued
AXP,Financial Services,33.46880782447793,3.7312910510165365,15.358837889884608,12.287070311907685,1.6881112873380915,1.5,8.979591836734693,18.6,24.294097494667742,23.699799,7.5004787,3.7609873,1.2741827419354836,0.0,4.94319547126187,245569896448,65949000000.0,10129000000.0,12139000000.0,bad_quality_overvalued
AIG,Financial Services,-3.30189788575057,-0.8703090712983971,-5.148514851485149,-4.118811881188119,0.20982573316714095,1.5,-2.46432275832469,32.300000000000004,16.9040800386804,13.66187,1.0066794,1.551701,0.4229681114551083,4.721,7.777647773380035,42082131968,27270000000.0,-1404000000.0,3273000000.0,bad_quality_undervalued
AMT,Real Estate,66.67257997752942,3.6920366616784603,22.26676672722964,45.45185243700134,12.995712849624505,0.4492622533778054,1.1485987095743193,0.0,16.580928461263905,28.637959,21.272362,8.0404415,,19.906,4.402191455707768,84060405760,10127200000.0,2255000000.0,3700500000.0,bad_quality_overvalued
AWK,Utilities,10.172280294231514,3.2013402375875724,22.438087105038427,36.67805294619983,1.3656600851722802,0.38571428571428573,10.628247520075579,8.1,14.267438318611026,23.328648,2.3746827,5.10862,2.8800800000000004,14.862,-3.718045692959531,25900703744,4684000000.0,1051000000.0,-963000000.0,bad_quality_overvalued
AMP,Financial Services,65.05355776587605,1.8748311769926627,19.699953660797036,15.759962928637627,1.046671767406274,1.5,11.129707112970712,86.6,9.516931914025678,12.315906,6.4570856,2.279057,0.14221600461893766,0.0,15.213718510292281,42192183296,17264000000.0,3401000000.0,6419000000.0,good_quality_undervalued
AME,Industrials,14.252518615674866,9.405427549910742,19.825505173471946,25.63774459097733,0.22106574790395,1.240373641883801,5.218017417139738,8.799999999999999,47.44104862707826,30.760252,4.264783,6.286843,3.4954831818181824,20.821,3.778305548056155,45040640000,6941180000.0,1376124000.0,1701773000.0,good_quality_overvalued
AMGN,Healthcare,69.59332993023651,4.453445703894859,12.236716132120632,21.714935375777884,10.226135783563043,1.256764362093597,18.566867683575737,13.600000000000001,36.394124500484544,26.105183,18.896042,5.052925,1.9194987499999998,13.767,5.718569105803001,181758754816,33424000000.0,4090000000.0,10394000000.0,good_quality_overvalued
APH,Technology,24.754901960784316,11.305864684098097,15.923587799798986,21.57501625861378,0.7032373366013072,2.3718105685880797,21.251005599496605,102.1,71.00073693342412,43.86667,12.86161,7.6804404,0.4296441723800196,27.274,1.3342585672027825,161085718528,15222700000.0,2424000000.0,2149300000.0,good_quality_overvalued
ADI,Technology,4.648789695635276,3.390693389274512,17.346406769294283,21.958433491666682,0.21747066357174347,1.8353882500970458,-23.390946142220994,31.6,19.546949603859993,59.114506,3.3530583,11.0035,1.8707122151898732,25.723,2.731679272786305,114291089408,9427157000.0,1635273000.0,3122066000.0,good_quality_overvalued
AON,Financial Services,43.35892827969286,5.420198100684162,16.906612307300293,26.602114919097975,2.9230517889233787,1.0190041313328984,17.35944976076555,34.4,32.059634432758095,27.69864,9.392806,4.3878775,0.805193023255814,16.787,3.7702377044799196,74716774400,15698000000.0,2654000000.0,2817000000.0,good_quality_overvalued
APA,Energy,15.227272727272728,4.146467251160392,8.257163397350313,32.85406182602444,1.1670454545454545,1.1519458544839256,17.610822563111487,0.0,50.21660649819495,5.7296653,1.4279753,0.9139277,,2.317,8.27402437970015,8568986112,9737000000.0,804000000.0,709000000.0,bad_quality_undervalued
APO,Financial Services,26.528719642960645,1.211183000568941,17.526997013096423,31.779888182584052,0.6136903726888078,0.8000445079094264,-20.003676020095575,115.3,6.910385159898914,18.925766,3.471273,2.7727723,0.16414367736339983,0.0,,75466547200,26114000000.0,4577000000.0,,bad_quality_undervalued
AAPL,Technology,151.91298333175104,31.17962593356549,26.91506412181824,31.970799762591884,1.3380304612588665,0.8932929222186667,6.425511782832739,91.2,115.84451663368046,36.344044,54.39591,9.681391,0.39850925438596485,28.113,2.4513918513838195,4029017227264,416161000000.0,112010000000.0,98767000000.0,good_quality_overvalued
AMAT,Technology,,,0.0,0.0,0.34766591232040417,2.5059045819555976,,13.5,,25.836794,8.71208,6.2906055,1.9138365925925926,19.746,4.195528549804583,178451890176,,,7487000000.0,bad_quality_overvalued
APTV,Consumer Cyclical,20.316052751250567,7.617870236166765,9.065083954750671,10.323137016182214,1.0104592996816735,1.525238744884038,-1.685701461273752,0.0,84.03529712677977,56.15909,1.7294636,0.80103874,,7.119,10.010820090822282,16142533632,19713000000.0,1787000000.0,1616000000.0,bad_quality_undervalued
ACGL,Financial Services,20.710854947166187,6.081290722928948,25.4695806261075,20.375664500886,0.13102785782901058,1.5,27.321952320072196,39.1,23.87668180407864,8.665417,1.4775397,1.7657448,0.22162191815856777,6.678,19.18978199995917,34507948032,16930000000.0,4312000000.0,6622000000.0,good_quality_undervalued
ADM,Consumer Defensive,8.11981234211476,3.3789491468153403,2.104524728165556,2.422541798199462,0.5204799711295561,1.3902096499147356,-8.947676584872518,489.1,160.55640029284226,23.833334,1.2510936,0.33860672,0.04872895931302392,14.452,4.35480024592743,28175804416,85530000000.0,1800000000.0,1227000000.0,bad_quality_undervalued
